"FECHA","HORA","TOTAL"
18/01/16,21,2646.62
18/01/16,22,2131.77
18/01/16,23,1782.04
18/01/16,24,1457.16
19/01/16,1,886.11
19/01/16,2,769.75
19/01/16,3,684.11
19/01/16,4,609.56
19/01/16,5,681.96
19/01/16,6,851.19
19/01/16,7,1009.57
19/01/16,8,1325.86
19/01/16,9,1143.92
19/01/16,10,1365.91
19/01/16,11,1341.08
19/01/16,12,1583.02
19/01/16,13,1616.66
19/01/16,14,1624.2
19/01/16,15,1591.87
19/01/16,16,1722.52
19/01/16,17,1514.32
19/01/16,18,1322.87
19/01/16,19,1730.68
19/01/16,20,3210.91
19/01/16,21,3042.96
19/01/16,22,2339.19
19/01/16,23,2049.39
19/01/16,24,1488.69
20/01/16,1,1034.03
20/01/16,2,948.03
20/01/16,3,694.37
20/01/16,4,557.43
20/01/16,5,647.08
20/01/16,6,804.27
20/01/16,7,948.45
20/01/16,8,1554.71
20/01/16,9,1516.29
20/01/16,10,1643.38
20/01/16,11,1729.62
20/01/16,12,1833.52
20/01/16,13,2214.75
20/01/16,14,2133.78
20/01/16,15,1853.56
20/01/16,16,1702.42
20/01/16,17,1746.39
20/01/16,18,1514.16
20/01/16,19,1683.05
20/01/16,20,3240
20/01/16,21,3092
20/01/16,22,2414.05
20/01/16,23,1714.19
20/01/16,24,1469.95
21/01/16,1,1217.98
21/01/16,2,1097.68
21/01/16,3,698.54
21/01/16,4,664.86
21/01/16,5,663.2
21/01/16,6,685.38
21/01/16,7,1219.27
21/01/16,8,1804.61
21/01/16,9,1964.18
21/01/16,10,2184
21/01/16,11,1720.4
21/01/16,12,2342.74
21/01/16,13,2934.28
21/01/16,14,2981.11
21/01/16,15,3008.55
21/01/16,16,3083.44
21/01/16,17,3173.15
21/01/16,18,2822.66
21/01/16,19,2892.99
21/01/16,20,4674.61
21/01/16,21,4242.67
21/01/16,22,3284.44
21/01/16,23,2726.2
21/01/16,24,1902.74
22/01/16,1,1096.71
22/01/16,2,651.15
22/01/16,3,645.02
22/01/16,4,750.98
22/01/16,5,471.29
22/01/16,6,708.48
22/01/16,7,1043.32
22/01/16,8,1001.6
22/01/16,9,1082.49
22/01/16,10,1224.52
22/01/16,11,1148.36
22/01/16,12,1422.18
22/01/16,13,1519.54
22/01/16,14,1303.54
22/01/16,15,1171.25
22/01/16,16,1388.62
22/01/16,17,1348.42
22/01/16,18,1380.54
22/01/16,19,1572.61
22/01/16,20,2139.35
22/01/16,21,2237.93
22/01/16,22,1990.48
22/01/16,23,1997.58
22/01/16,24,1490.33
23/01/16,1,788.77
23/01/16,2,513.99
23/01/16,3,685.9
23/01/16,4,628.64
23/01/16,5,726.23
23/01/16,6,740.05
23/01/16,7,909.25
23/01/16,8,1087.76
23/01/16,9,1445.25
23/01/16,10,1633.44
23/01/16,11,1889.51
23/01/16,12,2232
23/01/16,13,2260.84
23/01/16,14,2138.75
23/01/16,15,1697.24
23/01/16,16,1715.44
23/01/16,17,1740.21
23/01/16,18,1508.68
23/01/16,19,1815.94
23/01/16,20,2437.36
23/01/16,21,2470.7
23/01/16,22,2351.18
23/01/16,23,2637.74
23/01/16,24,1652.76
24/01/16,1,1364.62
24/01/16,2,1009.18
24/01/16,3,1076.94
24/01/16,4,844.06
24/01/16,5,801.67
24/01/16,6,947.37
24/01/16,7,1014.86
24/01/16,8,996.48
24/01/16,9,799.91
24/01/16,10,1088.27
24/01/16,11,1141.92
24/01/16,12,1114.3
24/01/16,13,1050.6
24/01/16,14,1038.58
24/01/16,15,1055.76
24/01/16,16,908.85
24/01/16,17,881.07
24/01/16,18,776.88
24/01/16,19,1917.59
24/01/16,20,3128.1
24/01/16,21,3074.96
24/01/16,22,2807.51
24/01/16,23,2252.36
24/01/16,24,1658.69
25/01/16,1,1001.64
25/01/16,2,733.39
25/01/16,3,584.03
25/01/16,4,712.32
25/01/16,5,739.57
25/01/16,6,961.02
25/01/16,7,1306.76
25/01/16,8,896.24
25/01/16,9,1206.27
25/01/16,10,1817.16
25/01/16,11,2224.21
25/01/16,12,2658.06
25/01/16,13,2805.61
25/01/16,14,2777.71
25/01/16,15,2326.42
25/01/16,16,1946.58
25/01/16,17,1920.47
25/01/16,18,1929.44
25/01/16,19,2464.54
25/01/16,20,4269.04
25/01/16,21,3909.71
25/01/16,22,2695.8
